libzmq,c++,test_bind_fuzzer test_connect_stream_fuzzer test_connect_ws_fuzzer test_socket_options_fuzzer test_bind_ws_fuzzer test_z85_decode_fuzzer test_connect_curve_fuzzer test_bind_null_fuzzer test_connect_null_fuzzer test_bind_curve_fuzzer test_bind_stream_fuzzer test_connect_fuzzer
llamacpp,c++,fuzz_tokenizer_spm fuzz_json_to_grammar fuzz_tokenizer_bpe fuzz_load_model fuzz_tokenizer_bge fuzz_tokenizer_baichuan fuzz_tokenizer_command_r fuzz_tokenizer_deepseek_coder fuzz_tokenizer_gpt_2 fuzz_tokenizer_qwen2 fuzz_tokenizer_falcon fuzz_tokenizer_aquila fuzz_grammar
lldpd,c,fuzz_edp fuzz_sonmp fuzz_lldp fuzz_cdp
llvm,c++,clang-fuzzer llvm-opt-fuzzer--x86_64-loop_predication llvm-isel-fuzzer--x86_64-O2 llvm-opt-fuzzer--x86_64-lower_matrix_intrinsics llvm-isel-fuzzer--wasm32-O2 llvm-isel-fuzzer--ppc64-O2 llvm-opt-fuzzer--x86_64-loop_unswitch llvm-opt-fuzzer--x86_64-reassociate llvm-opt-fuzzer--x86_64-licm llvm-opt-fuzzer--x86_64-guard_widening llvm-opt-fuzzer--x86_64-indvars llvm-isel-fuzzer--arm-O2 llvm-opt-fuzzer--x86_64-irce llvm-opt-fuzzer--x86_64-gvn llvm-isel-fuzzer--bpf-O2 llvm-itanium-demangle-fuzzer llvm-object-yaml-fuzzer llvm-opt-fuzzer--x86_64-memcpyopt llvm-parse-assembly-fuzzer llvm-isel-fuzzer--nvptx-O2 llvm-opt-fuzzer--x86_64-sccp llvm-yaml-numeric-parser-fuzzer llvm-opt-fuzzer--x86_64-strength_reduce llvm-isel-fuzzer--riscv64-O2 llvm-opt-fuzzer--x86_64-simplifycfg llvm-isel-fuzzer--ve-O2 llvm-microsoft-demangle-fuzzer clang-objc-fuzzer llvm-isel-fuzzer--mips64-O2 llvm-opt-fuzzer--x86_64-sroa llvm-opt-fuzzer--x86_64-instcombine llvm-dwarfdump-fuzzer llvm-isel-fuzzer--aarch64-O2 llvm-opt-fuzzer--x86_64-dse vfabi-demangler-fuzzer llvm-dis-fuzzer llvm-dlang-demangle-fuzzer llvm-opt-fuzzer--x86_64-earlycse llvm-yaml-parser-fuzzer llvm-symbol-reader-fuzzer llvm-opt-fuzzer--x86_64-loop_vectorize llvm-isel-fuzzer--aarch64-gisel llvm-rust-demangle-fuzzer clang-pseudo-fuzzer clang-format-fuzzer llvm-special-case-list-fuzzer llvm-opt-fuzzer--x86_64-loop_idiom llvm-isel-fuzzer--hexagon-O2
lodepng,c++,lodepng_fuzzer
lua,c,luaL_gsub_test luaL_traceback_test luaL_loadbuffer_proto_test luaL_bufflen_test luaL_buffaddr_test fuzz_lua luaL_addgsub_test lua_load_test luaL_loadbufferx_test luaL_buffsub_test torture_test lua_stringtonumber_test
lwan,c++,pattern_fuzzer template_fuzzer h2_huffman_fuzzer config_fuzzer request_fuzzer
lzma,c++,filters_fuzzer lzmaenc_fuzzer lzma2dec_fuzzer xzdec_fuzzer lzma2enc_fuzzer 7z_fuzzer ppmdenc_fuzzer lzmadec_fuzzer xzenc_fuzzer
lzo,c++,all_lzo_compress lzo_decompress_target lzo_compress_target
matio,c++,matio_fuzzer
